location,year,age,gender,value
High-middle SDI,2021,50-69,female,229.40347413717652
High SDI,1990,50-69,female,260.03759058738524
High SDI,1991,50-69,female,251.82119481401185
High SDI,1992,50-69,female,241.86547395513549
High SDI,1993,50-69,female,234.97802926063133
High SDI,1994,50-69,female,226.77052144488536
High SDI,1995,50-69,female,220.08351674663888
High SDI,1996,50-69,female,210.69292850848456
High SDI,1997,50-69,female,200.19853601102548
High SDI,1998,50-69,female,190.480638002
High SDI,1999,50-69,female,182.6066314701705
High SDI,2000,50-69,female,172.02499744541143
High SDI,2001,50-69,female,163.94037703414574
High SDI,2002,50-69,female,156.82299024257418
High SDI,2003,50-69,female,150.42867757731102
High SDI,2004,50-69,female,142.60014652146842
High SDI,2005,50-69,female,137.109545416003
High SDI,2006,50-69,female,130.52075929702562
High SDI,2007,50-69,female,124.82509332655437
High SDI,2008,50-69,female,120.02506154414613
High SDI,2009,50-69,female,115.73982839416108
High SDI,2010,50-69,female,111.87897744366984
High SDI,2011,50-69,female,109.65404106612174
High SDI,2012,50-69,female,107.78827790649972
High SDI,2013,50-69,female,106.3423745021322
High SDI,2014,50-69,female,105.17375144602096
High SDI,2015,50-69,female,105.296839263011
High SDI,2016,50-69,female,106.07795440837626
High SDI,2017,50-69,female,105.16103364035408
High SDI,2018,50-69,female,104.23248457813588
High SDI,2019,50-69,female,102.70188706370452
High SDI,2020,50-69,female,100.04210521391656
High SDI,2021,50-69,female,100.34801872163575
Low SDI,1990,70+,female,3078.5224369387597
Low SDI,1991,70+,female,3068.8298772902344
Low SDI,1992,70+,female,3075.1269475551817
Low SDI,1993,70+,female,3074.2995956354957
Low SDI,1994,70+,female,3118.324437212432
Low SDI,1995,70+,female,3146.202643036936
Low SDI,1996,70+,female,3097.065828902734
Low SDI,1997,70+,female,3057.751121375482
Low SDI,1998,70+,female,3026.720493642427
Low SDI,1999,70+,female,2991.7947126019544
Low SDI,2000,70+,female,2981.1426206832075
Low SDI,2001,70+,female,2969.302207353008
Low SDI,2002,70+,female,3004.015981986712
Low SDI,2003,70+,female,2976.244792851255
Low SDI,2004,70+,female,2909.573703712658
Low SDI,2005,70+,female,2855.8064118882457
Low SDI,2006,70+,female,2857.266203406092
Low SDI,2007,70+,female,2836.511623367379
Low SDI,2008,70+,female,2839.885817371077
Low SDI,2009,70+,female,2827.8489149592824
Low SDI,2010,70+,female,2802.898015006856
Low SDI,2011,70+,female,2836.811409811372
Low SDI,2012,70+,female,2927.302709432708
Low SDI,2013,70+,female,3015.994704766158
Low SDI,2014,70+,female,3028.357381817334
Low SDI,2015,70+,female,2970.817150021423
Low SDI,2016,70+,female,2930.222763583616
Low SDI,2017,70+,female,2879.607442740212
Low SDI,2018,70+,female,2840.395052458889
Low SDI,2019,70+,female,2802.7517559236303
Low SDI,2020,70+,female,2758.5302371613893
Low SDI,2021,70+,female,2698.734403201338
Low-middle SDI,1990,70+,female,3076.7050901842777
Low-middle SDI,1991,70+,female,3032.185416090411
Low-middle SDI,1992,70+,female,3059.3358831735445
Low-middle SDI,1993,70+,female,3040.7877828975834
Low-middle SDI,1994,70+,female,3040.120016588143
Low-middle SDI,1995,70+,female,3096.3195007282675
Low-middle SDI,1996,70+,female,3067.333581012492
Low-middle SDI,1997,70+,female,3015.043984515291
Low-middle SDI,1998,70+,female,3015.5519292998206
Low-middle SDI,1999,70+,female,2957.5892557803068
Low-middle SDI,2000,70+,female,2875.407861921544
Low-middle SDI,2001,70+,female,2851.4567395471367
Low-middle SDI,2002,70+,female,2872.007151074772
Low-middle SDI,2003,70+,female,2881.753800680998
Low-middle SDI,2004,70+,female,2836.931676867956
Low-middle SDI,2005,70+,female,2814.1640716739903
